id,year,name,state,district,votes,parties
2010_AL_01,2010,"Bonner, Jo",AL,01,129063,Republican
2010_AL_01,2010,"Walter, David",AL,01,26357,Constitution Party of Alabama
2010_AL_02,2010,"Roby, Martha",AL,02,111645,Republican
2010_AL_02,2010,"Bright, Bobby",AL,02,106865,Democratic
2010_AL_03,2010,"Rogers, Mike",AL,03,117736,Republican
2010_AL_03,2010,"Segrest, Steve",AL,03,80204,Democratic
2010_AL_04,2010,"Aderholt, Robert",AL,04,167714,Republican
2010_AL_05,2010,"Brooks, Mo",AL,05,131109,Republican
2010_AL_05,2010,"Raby, Steve",AL,05,95192,Democratic
2010_AL_06,2010,"Bachus, Spencer",AL,06,205288,Republican
2010_AL_07,2010,"Sewell, Terri A.",AL,07,136696,Democratic
2010_AL_07,2010,"Chamberlain, Don",AL,07,51890,Republican
2010_AL_S,2010,"Shelby, Richard C.",AL,S,968181,Republican
2010_AL_S,2010,"Barnes, William G.",AL,S,515619,Democratic
2010_AK_00,2010,"Young, Don",AK,00,175384,Republican
2010_AK_00,2010,"Crawford, Harry T., Jr.",AK,00,77606,Democratic
2010_AK_S,2010,"Murkowski, Lisa",AK,S,92931,"Republican,Write-In"
2010_AK_S,2010,"Miller, Joe",AK,S,90860,"Republican,Write-In"
2010_AK_S,2010,"McAdams, Scott T.",AK,S,60045,Democratic
2010_AK_S,2010,Murkowski,AK,S,10195,"Write-In,Write-In"
2010_AK_S,2010,"Haase, Fredrick ""David""",AK,S,1459,Libertarian
2010_AK_S,2010,"Carter, Tim",AK,S,927,Non-Affiliated
2010_AK_S,2010,Other - Misc. Names,AK,S,602,Write-In
2010_AK_S,2010,"Gianoutsos, Ted",AK,S,458,Non-Affiliated
2010_AK_S,2010,"Hill, Sid",AK,S,13,Write-In
2010_AK_S,2010,McAdams,AK,S,8,Write-In
2010_AK_S,2010,"Marin Jr., Edward D.",AK,S,6,Write-In
2010_AK_S,2010,"Bradley, Red K.",AK,S,3,Write-In
2010_AK_S,2010,"Cummins, Guy A.",AK,S,2,Write-In
2010_AK_S,2010,"Lackey, Lisa M.",AK,S,2,Write-In
2010_AK_S,2010,"McGahan, Richard",AK,S,2,Write-In
2010_AK_S,2010,"Moser, Marvin Roger",AK,S,2,Write-In
2010_AK_S,2010,"Perry, Karen",AK,S,2,Write-In
2010_AK_S,2010,"Ransom, Eileen M.",AK,S,2,Write-In
2010_AK_S,2010,"Whittaker, Jed",AK,S,2,Write-In
2010_AK_S,2010,"Ames, Michael",AK,S,1,Write-In
2010_AK_S,2010,"Austin, Kevin",AK,S,1,Write-In
2010_AK_S,2010,"Beeman, David E.",AK,S,1,Write-In
2010_AK_S,2010,"Beeman, Vicky L.",AK,S,1,Write-In
2010_AK_S,2010,"Boyle, David",AK,S,1,Write-In
2010_AK_S,2010,"Butler, Michael",AK,S,1,Write-In
